timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,91.9,16.7,0,0,0
5s,10.5,16.9,0,0,0
10s,27.4,17.0,67.1,0,212
15s,23.9,17.6,24.0,0,20
20s,30.2,17.8,1.30,0,376
25s,13.6,17.1,22.8,0,7907
30s,12.4,17.2,5.70,0,3263
35s,5.8,17.2,3.50,256,4104
40s,29.8,17.6,0.20,0,488
45s,31.4,18.9,0.10,0,4094
50s,33.7,18.9,27.6,0,20
55s,25.0,18.8,88.3,0,247
60s,32.2,18.9,58.9,0,644
65s,28.2,19.4,29.5,0,119
70s,12.5,19.5,7.00,0,19
75s,19.5,19.5,2.30,0,4092
80s,18.4,19.4,55.2,0,172
85s,20.9,19.2,0,0,0
90s,12.8,19.2,0.60,0,104
95s,16.8,19.2,13.5,0,4095
100s,8.7,19.2,12.9,0,512
105s,13.6,19.2,13.4,0,4094
110s,7.5,19.1,0,0,0
115s,12.9,19.0,0,0,0
120s,14.9,19.2,0.20,0,100
125s,44.9,19.4,1.30,0,691
130s,17.5,19.7,13.5,0,4094
135s,11.5,19.5,1.00,0,284
140s,19.5,19.6,0.30,0,188
145s,7.7,19.5,10.6,0,37
150s,22.4,19.5,93.8,0,88
155s,35.4,19.5,21.2,0,96
160s,8.3,19.3,0,0,0
165s,17.0,19.3,74.4,0,88
170s,6.7,19.3,0,0,24
175s,12.9,19.4,25.4,0,971
180s,16.5,19.4,0,0,0
185s,22.1,19.5,35.1,0,56
190s,31.9,19.7,0.20,0,16
195s,11.1,19.7,0.70,0,176
200s,23.1,19.7,30.1,0,495
205s,8.5,19.7,0,0,0
210s,7.8,19.4,31.5,0,224
215s,5.8,19.3,0.20,0,156
220s,9.9,19.3,0.10,0,88
225s,7.6,19.5,0.10,0,4092
230s,28.2,19.4,29.9,0,316
235s,22.0,19.4,0.10,0,4092
240s,7.8,19.4,0,0,0
245s,6.9,19.4,12.1,0,68
250s,9.6,19.4,0,0,0
255s,7.6,19.4,0.70,0,112
260s,30.0,19.3,28.4,0,52
265s,5.8,19.3,21.1,0,12
270s,13.6,19.3,0,0,0
275s,10.6,19.3,13.5,0,8191
280s,15.7,19.3,18.5,0,8184
285s,11.1,19.3,75.5,0,615
290s,20.9,19.4,79.5,0,148
295s,6.7,19.4,0,0,0
300s,7.6,19.4,0,0,0
