timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,5.0,11.8,0,0,0
5s,3.0,11.9,0,0,0
10s,21.2,11.9,35.4,0,7883
15s,4.0,13.3,0.50,0,408
20s,4.0,13.0,1.10,0,759
25s,20.2,12.5,4.30,0,9957
30s,55.3,12.7,10.3,0,10
35s,4.9,12.5,0,0,0
40s,14.2,12.5,63.4,0,76
45s,13.7,12.5,4.60,0,76
50s,25.2,12.5,13.6,0,28
55s,15.5,12.8,0,0,0
60s,3.9,12.7,13.5,0,724
65s,6.9,12.6,5.19,0,4092
70s,16.8,12.6,49.0,0,619
75s,19.8,12.6,52.2,0,72
80s,16.8,12.6,61.1,0,117
85s,1.1,12.6,0,0,0
90s,4.0,12.6,0,0,0
95s,7.9,12.6,0,0,0
100s,3.0,12.7,13.8,68,0
105s,4.9,12.6,0.20,0,28
110s,15.0,12.6,0,0,0
115s,38.2,12.7,0,0,0
120s,3.9,12.6,0.50,0,60
