timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,89.4,14.8,0.10,0,288
10s,30.7,15.3,25.4,0,48
20s,4.9,15.4,22.0,0,10
30s,38.6,15.2,1.40,0,520
40s,41.0,15.6,3.30,0,7627
50s,24.4,17.0,0,0,0
60s,9.0,17.4,0,0,0
70s,34.5,16.9,87.7,0,302
80s,16.8,17.4,0,0,0
90s,59.5,17.5,0.40,0,20
100s,15.7,17.8,0.80,0,384
110s,10.3,17.4,1.80,0,519
120s,11.4,17.6,18.2,0,12
130s,24.4,17.7,0.60,100,12
140s,34.3,17.6,0.30,0,124
150s,19.5,17.5,0,0,0
160s,15.7,17.5,9.69,0,1179
170s,7.9,17.5,0,0,0
180s,9.2,17.4,18.3,0,8185
190s,15.6,17.4,0,0,0
200s,19.5,17.3,13.6,0,116
210s,14.3,17.4,13.5,0,116
220s,11.9,17.4,0,0,0
230s,17.3,17.4,0,0,0
240s,15.8,17.4,0.70,0,280
250s,16.7,17.6,0,0,0
260s,22.2,17.5,0,0,0
270s,22.4,17.6,13.6,0,8184
280s,13.8,17.7,0,0,0
290s,24.2,17.4,0.30,0,124
300s,17.0,17.4,66.8,0,312
