iteration,start_time,deployment_time,stop_time,delete_time
1,24.863383067,13.226294268,.064929871,1.622382620
2,29.029247106,12.642957474,.054348228,1.398939978
3,31.621278533,12.646182193,.072891598,1.436702283
4,27.942404258,11.818004645,.089560145,1.693664169
5,20.434406770,12.396335706,.060970557,1.598894790
6,16.904726368,11.638548067,.065406722,1.688542610
7,29.956472172,12.594259612,.072931950,1.510211443
8,19.306827837,11.205472073,.091414518,1.515169657
9,19.988686338,11.995084535,.084557534,1.647878662
10,20.030417922,12.453565257,.096344625,1.603363719
