timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,25.3,5.8,1.10,0,388
5s,3.0,6.4,7.19,0,13
10s,14.3,6.4,44.1,23,232
15s,15.9,7.3,0,0,0
20s,21.2,6.9,0.70,0,156
25s,3.0,6.7,0.70,0,160
30s,16.0,6.8,0.30,0,80
35s,5.0,6.8,0.10,0,4091
40s,4.0,6.7,0.80,0,236
45s,20.0,6.6,2.40,0,156
50s,6.1,6.7,6.09,0,1798
55s,46.4,6.8,1.00,0,380
60s,7.9,6.8,7.104095,4015,
65s,12.9,7.0,44.6,132,29
70s,28.9,7.7,0,0,0
75s,56.3,8.3,0,0,0
80s,3.0,9.1,4.80,0,4470
85s,5.0,8.9,6.59,0,479
90s,10.8,8.9,0,0,0
95s,14.1,8.7,5.40,0,1323
100s,23.5,8.7,90.6,0,120
105s,18.8,8.8,14.9,0,344
110s,9.9,8.9,55.8,0,515
115s,24.1,8.6,79.6,0,2407
120s,8.3,8.8,0.50,0,84
125s,5.0,8.8,2.70,0,252
130s,18.8,9.0,1.70,0,680
135s,7.1,9.7,0,0,0
140s,8.1,9.8,0.90,0,244
145s,13.4,9.8,1.10,0,300
150s,33.7,9.6,1.20,0,304
155s,25.5,9.9,31.2,0,30
160s,27.6,9.6,9.50,0,676
165s,23.5,9.6,2.50,0,768
170s,17.3,10.1,0.80,380,0
175s,14.9,10.3,0,0,0
180s,22.0,10.2,0.50,0,24
185s,5.7,9.9,0.10,0,296
190s,4.8,9.9,18.7,0,36
195s,2.2,9.8,0.20,0,96
200s,3.0,9.6,0.30,0,20
205s,2.0,9.8,0.30,0,104
210s,6.8,9.7,0.30,0,92
215s,10.1,9.7,43.8,0,288
220s,5.7,9.7,0.70,0,252
225s,9.1,9.7,72.8,0,836
230s,8.7,9.7,0.90,0,304
235s,3.9,9.7,1.60,0,539
240s,3.9,9.7,0,0,0
245s,9.8,9.6,0,0,0
250s,3.9,9.6,1.80,0,703
255s,16.2,9.7,0,0,0
260s,7.8,9.8,0.90,0,232
265s,9.7,9.7,11.2,0,20
270s,5.9,9.7,2.40,0,112
275s,27.6,9.8,5.09,0,751
280s,8.0,9.7,5.19,0,400
285s,5.8,9.7,82.3,0,200
290s,14.0,9.7,0.70,0,224
295s,5.8,9.7,33.7,0,352
300s,15.5,9.8,0.90,0,188
