timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,4.7,10.3,0,0,0
5s,3.1,10.2,0,0,0
10s,8.9,10.3,56.6,0,7266
15s,14.5,10.8,0.10,0,4096
20s,1.2,11.0,0.20,0,4091
25s,27.7,11.4,19.1,0,13
30s,10.6,11.4,6.20,0,2991
35s,2.3,11.5,0.50,0,92
40s,5.0,11.4,0.40,0,40
45s,4.7,11.4,69.3,0,32
50s,7.1,11.4,4.00,0,24
55s,5.9,11.3,0,0,0
60s,21.2,11.7,0.50,0,92
65s,9.9,11.5,0.70,0,80
70s,4.0,11.5,0.10,0,4092
75s,8.2,11.4,0.30,0,751
80s,17.2,11.4,0.40,0,56
85s,3.1,11.3,0.50,0,96
90s,5.9,11.3,2.10,0,4431
95s,4.0,12.2,32.8,0,860
100s,3.0,11.9,1.20,0,404
105s,5.0,11.8,0.90,0,156
110s,3.0,11.9,0,0,0
115s,16.2,11.9,24.3,0,40
120s,5.0,11.8,1.00,0,240
