iteration,start_time,deployment_time,stop_time,delete_time
1,12.026514780,244.856497198,4.448326189,30.692206139
2,9.858931844,167.255144940,4.112876464,29.390279768
3,14.166341459,231.845815515,5.399666998,58.465653346
4,10.668825000,199.197493011,4.374111209,58.532615375
5,11.997244273,269.656602174,4.540531931,58.669967021
6,13.215550008,226.056160080,4.710102676,59.992208345
7,11.894104060,283.163614296,5.074932213,56.909629999
8,12.134624489,240.842321770,4.770225133,57.307823049
9,11.458195692,287.313434511,4.257320264,38.169271645
10,11.231284984,285.216157302,5.792835162,31.135543704
