timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,23.8,14.4,22.3,0,48
5s,10.2,14.4,0,0,0
10s,27.3,14.6,30.9,128,14
15s,16.3,15.7,10.1,0,4463
20s,6.0,15.8,5.70,0,2244
25s,15.2,14.8,0.10,0,12
30s,10.3,14.7,0.80,0,36
35s,12.6,14.8,0.80,0,184
40s,11.9,14.8,0,0,0
45s,9.5,14.7,1.30,0,268
50s,31.0,14.7,16.2,0,212
55s,10.5,14.9,0.60,0,36
60s,23.0,14.9,10.2,0,24
65s,17.0,14.8,1.10,0,152
70s,44.6,14.7,0.10,0,4095
75s,14.9,14.7,0.70,0,48
80s,29.2,14.7,34.0,0,40
85s,13.3,14.7,12.4,0,140
90s,17.4,14.7,0,0,0
95s,11.8,14.7,19.4,0,40
100s,17.6,14.8,0,0,0
105s,22.4,14.7,21.3,0,48
110s,16.3,15.4,0.90,0,176
115s,13.1,15.3,1.40,0,260
120s,16.9,15.3,1.10,0,156
