timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,17.3,21.1,27.4,0,140
5s,6.9,21.1,0,0,0
10s,17.2,21.2,74.6,0,72
15s,15.3,21.9,6.70,0,144
20s,6.2,22.2,0.10,0,4095
25s,3.9,21.4,13.6,0,4095
30s,40.8,21.4,84.5,0,37
35s,19.8,21.3,0.90,0,40
40s,9.3,21.3,0,0,0
45s,9.5,21.3,35.5,0,76
50s,3.9,21.4,0.90,0,216
55s,15.9,21.4,4.80,0,21
60s,31.7,21.5,22.3,0,77
65s,19.4,21.6,23.1,0,2188
70s,29.5,22.0,87.6,0,2993
75s,11.8,22.1,7.10,0,1772
80s,11.6,22.3,22.8,0,52
85s,19.5,21.8,0,0,0
90s,18.0,21.8,4.60,0,2223
95s,13.3,22.0,2.90,0,859
100s,19.0,21.8,34.2,0,1152
105s,47.7,21.9,4.40,0,3304
110s,38.8,22.1,70.4,0,18
115s,55.2,22.8,29.5,0,51
120s,7.5,23.9,75.3,0,52
125s,6.0,23.7,0.50,0,28
130s,24.5,23.6,0.60,0,84
135s,2.2,23.6,75.2,0,76
140s,7.7,23.6,0,0,0
145s,6.5,23.6,70.0,0,296
150s,9.7,23.6,0,0,0
155s,7.6,23.6,71.9,0,32
160s,23.5,23.7,0.50,0,156
165s,5.8,23.6,0.60,0,92
170s,21.7,23.7,1.60,0,36
175s,5.6,23.6,66.0,0,20
180s,4.8,23.7,13.6,0,4094
185s,4.6,23.7,0.70,0,176
190s,15.2,23.7,0.60,0,48
195s,20.8,23.7,1.00,0,72
200s,5.5,23.7,13.5,0,4092
205s,19.8,23.7,5.09,0,136
210s,17.8,23.7,0,0,0
215s,14.9,23.7,13.6,0,4092
220s,4.5,23.7,0.30,0,20
225s,8.4,23.6,0,0,0
230s,11.2,23.7,0.40,0,24
235s,2.2,23.7,82.1,0,52
240s,10.8,23.7,13.6,0,4092
245s,4.7,23.6,69.0,0,72
250s,8.4,23.6,0.40,0,32
255s,9.3,23.8,13.6,0,4095
260s,20.4,23.7,13.8,0,100
265s,5.8,23.7,13.6,0,4091
270s,17.8,23.5,0.90,0,36
275s,6.5,23.5,13.5,0,12
280s,21.3,23.5,29.7,0,24
285s,8.5,23.5,13.6,0,4092
290s,20.8,23.5,9.39,0,52
295s,4.7,23.5,0.50,0,24
300s,7.5,23.5,22.7,0,4095
