iteration,start_time,deployment_time,stop_time,delete_time
1,13.826877418,14.087643996,11.469830838,2.416560660
2,23.733029861,12.422051976,11.412684615,1.582190280
3,21.100291386,24.073925316,11.411575623,1.598356824
4,24.449093119,22.922322493,11.448430168,1.580534037
5,23.313128799,11.936474436,11.467603615,1.613806741
6,24.716617614,11.451976220,6.711575302,1.729953925
7,24.938081925,11.539712193,11.456587805,1.564627072
8,23.353925701,11.382259666,6.701592064,1.578863791
9,23.357644724,12.876755162,11.364924062,1.564532399
10,23.496718083,12.217709343,11.390674563,1.586884132
