iteration,start_time,deployment_time,stop_time,delete_time
1,25.613403977,161.908359754,11.486863014,3.879911527
2,26.630093437,193.738820823,11.426062127,3.942328241
3,24.817409342,194.697947716,11.447346218,4.793269557
4,27.331868359,174.473825826,11.032354448,3.845270460
5,23.950787105,240.507717522,11.412179580,3.892941674
6,25.670009551,146.640455768,11.163899952,3.957883505
7,26.560963927,171.019574972,11.464700202,4.008174172
8,24.741265365,161.372717233,11.452121460,3.950759633
9,22.602350634,129.815785772,11.059263238,5.340797202
10,30.002128638,204.645911751,11.432637903,3.896604467
