timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,11.9,21.0,21.4,0,196
5s,4.8,21.0,0.50,0,68
10s,17.4,21.1,0.50,0,24
15s,22.4,21.6,0.30,0,244
20s,21.8,21.7,7.60,0,4522
25s,7.6,21.3,13.7,0,51
30s,15.3,21.7,7.50,0,3318
35s,8.3,21.8,0.80,0,228
40s,4.5,21.4,0.30,0,24
45s,6.5,21.7,15.4,0,48
50s,76.4,21.5,93.0,0,441
55s,31.8,22.0,0,0,0
60s,33.3,21.9,88.2,0,377
65s,25.6,22.2,27.9,0,52
70s,6.9,23.7,0.40,0,68
75s,20.2,23.6,59.0,0,24
80s,7.7,23.4,13.6,0,4091
85s,11.8,23.6,0,0,0
90s,7.7,23.3,1.30,0,216
95s,6.7,23.3,0.90,0,108
100s,6.7,23.6,1.10,0,72
105s,9.5,23.3,67.5,0,128
110s,7.8,23.6,20.0,0,284
115s,10.6,23.6,42.4,0,40
120s,18.0,23.3,11.3,0,148
125s,17.2,23.6,0.10,0,12
130s,5.7,23.3,6.60,0,76
135s,4.7,23.3,0.50,0,28
140s,7.6,23.7,1.00,0,176
145s,4.7,23.3,13.4,0,4095
150s,18.1,23.6,31.2,0,176
155s,10.0,23.6,13.5,0,4093
160s,35.6,23.4,1.00,0,248
165s,11.7,24.1,0.40,0,44
170s,7.6,23.5,47.7,0,580
175s,6.9,23.5,0,0,0
180s,15.3,23.8,32.1,0,13
185s,7.0,23.6,13.6,0,4094
190s,10.8,23.8,1.60,0,168
195s,6.7,23.8,0,0,0
200s,4.7,23.5,1.00,0,172
205s,4.7,23.8,0,0,0
210s,4.7,23.4,13.5,0,4094
215s,7.0,23.8,0.20,0,64
220s,2.2,23.8,0,0,0
225s,20.0,23.5,24.0,0,76
230s,5.7,23.8,0.90,0,92
235s,63.6,23.8,0,0,0
240s,7.5,23.4,1.00,0,100
245s,3.3,23.8,83.3,0,68
250s,7.6,23.4,0.30,0,12
255s,6.9,23.5,0.60,0,48
260s,16.7,23.8,39.5,0,20
265s,6.6,23.4,0.50,0,36
270s,5.6,23.8,1.50,0,136
275s,20.8,23.7,25.5,0,108
280s,4.8,23.4,25.8,0,20
285s,3.8,23.7,0,0,0
290s,23.3,23.3,36.2,0,84
295s,43.0,23.5,50.6,0,72
300s,10.3,23.4,2.00,0,312
