iteration,start_time,deployment_time,stop_time,delete_time
1,15.924921309,15.565286114,11.599209925,1.561094474
2,23.010260519,11.693377792,13.308750608,1.547205931
3,20.568081369,12.563263037,10.783186034,1.579244374
4,22.545131790,12.431495094,11.370883959,1.603588245
5,20.780806512,12.093135502,11.905187781,1.589925491
6,26.757574134,15.695699908,11.398594114,1.641606261
7,21.317096437,35.217167607,11.168795817,1.632351541
8,22.589823239,12.465737065,11.373307670,1.601080723
9,23.102473721,11.928623019,11.429573027,1.591513355
10,22.984286941,12.501802385,11.409494394,1.682236945
